,Autor(es),Título,GT,Evento,Ano,Link do Arquivo
0,"José Albio Moreira de Sales, Gardner de Andrade Arrais, Mateus Bonie Campos Braga",Cartografia Da Pesquisa Em Artes Nos Programas De Pós-Graduação Em Educação Da Região Nordeste,GT24 - Educação e Arte,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT24_976.pdf
1,"Luiz Daniel Rodrigues Dinarte, Carolina Comerlato Sperb",O Arquivo Dos Estudos Surdos: Procedimentos Para Transcriar Em (Re)Traduções,GT24 - Educação e Arte,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT24_675.pdf
2,Edvandro Luise Sombrio de Souza,"Formalismo – Elemento De Estabilidade: Gênero E Sexualidade No Ensino Da Arte, Nos Anos Iniciais Do Ensino Fundamental",GT24 - Educação e Arte,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT24_207.pdf
3,"Jorge César de Araujo Pires, Silvia Sell Duarte Pillotto, Ana Cristina Quintanilha Schreiber",Políticas Públicas Na Educação Musical Brasileira,GT24 - Educação e Arte,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT24_199.pdf
4,Eloenes Lima da Silva,Pedagogias Boêmias - Aprendendo A Arte De Viver Na Noite,GT24 - Educação e Arte,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT24_906.pdf
5,"Viviane Diehl, Valdo Hermes de Lima Barcelos",Proposições Do Educadorartista Para A Educação Intercultural Em Arte,GT24 - Educação e Arte,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT24_799.pdf
6,Renan Santiago de Sousa,Multiculturalismo E Formação De Professores(As) De Música: O Olhar Docente Sobre O Currículo De Três Instituições De Ensino Superior,GT24 - Educação e Arte,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT24_230.pdf
7,Cecília Silvano Batalha,Ensino De Dança Na Escola: Concepções E Práticas Na Visão De Professores,GT24 - Educação e Arte,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT24_96.pdf
8,Francisco Cleiton Alves,Aprendizagens Experenciais Sobre Arte-Educação Nas Escritas De Si,GT24 - Educação e Arte,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT24_605.pdf
9,Paulo Roberto Prado Constantino,Por Uma História Da Apreciação Musical Na Escola Brasileira: As Ideias Dispostas Nos Manuais Didáticos Do Canto Orfeônico,GT24 - Educação e Arte,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT24_769.pdf
10,"Rossana Perdomini Della Costa, Gilberto Icle",Mobilizar O Corpo Na Formação Docente Em Pedagogia: Considerações A Partir Da Proposta Da Über-Marionette,GT24 - Educação e Arte,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT24_510.pdf
11,Polyana Cindia Olini,"Currículo, Imagem E Cinema: Aproximações Do Projeto Escrileituras",GT24 - Educação e Arte,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT24_339.pdf
12,"Cíntia Langie Araujo, Carla Gonçalves Rodrigues",O Que As Salas Universitárias De Cinema Têm Para Ensinar À Educação?,GT24 - Educação e Arte,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT24_590.pdf
13,Marilda Oliveira,Ensino da arte na turbulência curricular contemporânea,GT24 - Educação e Arte,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/minicurso_ementa_38anped_2017_GT24.pdf
14,Wilson Cardoso Junior,Ensino De Artes Visuais Em Perspectiva Eurocêntrica: Um Estudo De Caso No Colégio Pedro Ii,GT24 - Educação e Arte,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT24_1137.pdf
15,Francione Oliveira Carvalho,Imagens E Palavras Para Pensar A Escola: Apontamentos Sobre A Reforma Do Ensino Médio,GT24 - Educação e Arte,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT24_225.pdf
16,Glauber Resende Domingues,Escutas No Cinema: Percursos Criativos Com Estudantes De Educação Básica,GT24 - Educação e Arte,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT24_728.pdf
17,Kelly Cristine Sabino,Experiência: Uma Arquegeneologia Entre A Arte E A Educação,GT24 - Educação e Arte,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT24_203.pdf
18,Olga Maria Botelho Egas,A Fotografia Na Pesquisa Em Educação,GT24 - Educação e Arte,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT24_1289.pdf
19,"Marcos Villela Pereira, Gabriela do Amaral Peruffo",Diálogo E Negociação: Sobre A Construção De Sentidos Na Experiência Com Cinema Em Sala De Aula,GT24 - Educação e Arte,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT24_118.pdf
20,Adlene Silva Arantes,Educação E Racialização: Uma Análise A Partir Dos Conteúdos Escolares Das Aulas Primárias Pernambucanas (1928-1939),GT21 - Educação e Relações Étnico-Raciais,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT21_969.pdf
21,Maria de Lourdes Spazziani,Desafios E Aprendizagens Da Ambientalização Em Uma Universidade,GT22 - Educação Ambiental,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT22_226.pdf
